Nombre Estacion,Latitude,Longitude,Alcaldia
ROMA - DINAMARCA E115,19.42995203,-99.15969578,CUAUHTEMOC
LONDRES - ROMA E116,19.42899136,-99.15663845,CUAUHTEMOC
LONDRES - NAPOLES E117,19.42713881,-99.16037237,CUAUHTEMOC
LIVERPOOL - DINAMARCA E118,19.42712032,-99.15825279,CUAUHTEMOC
TURIN - ABRAHAM GONZALEZ E119,19.42679835,-99.15553937,CUAUHTEMOC
MARSELLA - NAPOLES E120,19.42544293,-99.15945779,CUAUHTEMOC
NIZA - CHAPULTEPEC E121,19.42414487,-99.16131636,CUAUHTEMOC
JOSE MARIA VERTIZ - AV. DR. RIO DE LA LOZA E122,19.42550056,-99.14633788,CUAUHTEMOC
CLAUDIO BERNARD - DR. LAVISTA E123,19.42416439,-99.15312033,CUAUHTEMOC
CLAUDIO BERNARD - DR. LICEAGA E124,19.42239297,-99.15035315,CUAUHTEMOC
MORELIA - CIRCULAR DE MORELIA E125,19.42454201,-99.15620398,CUAUHTEMOC
JALAPA - PUEBLA E126,19.42229306,-99.16213692,CUAUHTEMOC
PUEBLA - MERIDA E127,19.42332403,-99.15832776,CUAUHTEMOC
ORIZABA - RIO DE JANEIRO E128,19.42215099,-99.16064566,CUAUHTEMOC
TONALA - DURANGO E129,19.42060437,-99.16331209,CUAUHTEMOC
MERIDA - DURANGO E130,19.42157372,-99.1580163,CUAUHTEMOC
COLIMA - JALAPA E131,19.41958264,-99.16131613,CUAUHTEMOC
COLIMA - FRONTERA E132,19.42067333,-99.15645131,CUAUHTEMOC
COLIMA - MORELIA E133,19.42114064,-99.15472447,CUAUHTEMOC
ALVARO OBREGON - ORIZABA E134,19.41830701,-99.1595615,CUAUHTEMOC
ALVARO OBREGON - MORELIA E135,19.41922816,-99.15509693,CUAUHTEMOC
TONALA - ALVARO OBREGON E136,19.41772138,-99.16272472,CUAUHTEMOC
ALVARO OBREGON - MERIDA E137,19.41878266,-99.15708399,CUAUHTEMOC
GUANAJUATO - FRONTERA E138,19.41771168,-99.15530947,CUAUHTEMOC
TONALA - GUANAJUATO E139,19.41613341,-99.16209973,CUAUHTEMOC
MERIDA - ZACATECAS E140,19.41660635,-99.15685321,CUAUHTEMOC
ZACATECAS - LUIS CABRERA E141,19.41590916,-99.15954121,CUAUHTEMOC
SAN LUIS POTOSI - EJE 2 PTE. MONTERREY E142,19.41323521,-99.16411641,CUAUHTEMOC
CORDOBA - SAN LUIS POTOSI E143,19.41431019,-99.15754491,CUAUHTEMOC
FRONTERA - SAN LUIS POTOSI E144,19.41520121,-99.15483442,CUAUHTEMOC
EJE 2 SUR YUCATAN - CHIAPAS E145,19.41286228,-99.16066095,CUAUHTEMOC
COAHUILA - MANZANILLO E146,19.4107416,-99.16571654,CUAUHTEMOC
COAHUILA - ORIZABA E147,19.4121836,-99.15844635,CUAUHTEMOC
COAHUILA - AV. CUAUHTEMOC E148,19.41283141,-99.15511266,CUAUHTEMOC
MERIDA - ANTONIO ANZA E149,19.41199269,-99.15570089,CUAUHTEMOC
CAMPECHE - MEDELLIN E150,19.40996908,-99.16429332,CUAUHTEMOC
CAMPECHE - TONALA E151,19.41053646,-99.16087105,CUAUHTEMOC
TLACOTALPAN - CAMPECHE E152,19.40910154,-99.16717848,CUAUHTEMOC
MANZANILLO - TLAXCALA E153,19.40747102,-99.16513882,CUAUHTEMOC
TUXPAN - TLAXCALA E154,19.40669397,-99.16796101,CUAUHTEMOC
JALAPA - TLAXCALA E155,19.40822003,-99.15991041,CUAUHTEMOC
TEPIC - ARIO E156,19.40698428,-99.16298534,CUAUHTEMOC
TEPIC - TLACOTALPAN E157,19.40623605,-99.16661557,CUAUHTEMOC
HUATABAMPO - EJE 1 PTE. AV. CUAUHTEMOC E158,19.40744896,-99.15571879,CUAUHTEMOC
HUATABAMPO - EJE 1 PTE. AV. CUAUHTEMOC E159,19.40751791,-99.15537229,CUAUHTEMOC
ALFONSO HERRERA - GABINO BARRERA E160,19.44025256,-99.16346275,CUAUHTEMOC
QUINTANA ROO - MANZANILLO E161,19.40553735,-99.16491547,CUAUHTEMOC
TEHUANTEPEC - MEDELLIN E162,19.40490846,-99.16248593,CUAUHTEMOC
TOLUCA - BAJIO E163,19.40525698,-99.1564344,CUAUHTEMOC
BAJIO - TLACOTALPAN E164,19.40320874,-99.16596145,CUAUHTEMOC
BAJIO - EJE 2 PTE. MONTERREY E165,19.40427007,-99.16050531,CUAUHTEMOC
JOAQUIN GARCIA - IGNACIO MANUEL ALTAMIRANO E174,19.44111355,-99.16163791,CUAUHTEMOC
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E176,19.44269049,-99.15228798,CUAUHTEMOC
BENJAMIN HILL - CARLOS ZETINA E177,19.40884607,-99.18169159,CUAUHTEMOC
TAMAULIPAS - FRANCISCO MURGUIA E178,19.40683267,-99.1804555,CUAUHTEMOC
NUEVO LEON - QUINTANA ROO E179,19.40445428,-99.1714379,CUAUHTEMOC
QUINTANA ROO - VILLA HERMOSA E180,19.40455778,-99.16995407,CUAUHTEMOC
BENJAMIN FRANKLIN - OMETUSCO E181,19.4047286,-99.17448034,CUAUHTEMOC
GABINO BARRERA - GUILLERMO PRIETO E183,19.43767628,-99.16401751,CUAUHTEMOC
ALFONSO HERRERA - MIGUEL SHULTZ E254,19.43935358,-99.16007039,CUAUHTEMOC
JOSE ROSAS MORENO - GUILLERMO PRIETO E255,19.43716523,-99.16180888,CUAUHTEMOC
GOMEZ FARIAS - SADI CARNOT E256,19.43720572,-99.15816203,CUAUHTEMOC
MANUEL MARIA CONTRERAS - VILLALONGIN E257,19.43380601,-99.16621933,CUAUHTEMOC
TOMAS ALVA EDISON - PONCIANO ARRIAGA E259,19.43757059,-99.15467971,CUAUHTEMOC
AV. JUAREZ - BALDERAS E260,19.43538153,-99.1477292,CUAUHTEMOC
PASEO DE LA REFORMA - RIO DE LA PLATA E261,19.4249545,-99.17245704,CUAUHTEMOC
REPUBLICA DE CUBA - REPUBLICA DE BRASIL E262,19.43692419,-99.13394595,CUAUHTEMOC
SADI CARNOT - GOMEZ FARIAS E263,19.43627791,-99.15841291,CUAUHTEMOC
H. FERROCARRILEROS - JESUS GARCIA E264,19.44098977,-99.15293768,CUAUHTEMOC
JESUS GARCIA - HEROES FERROCARRILEROS E265,19.44083865,-99.15226499,CUAUHTEMOC
AV. JESUS GARCIA - CARLOS J. MENESES E266,19.44403452,-99.15218404,CUAUHTEMOC
CARLOS J. MENESES - AV. JESUS GARCIA E267,19.44374455,-99.15220167,CUAUHTEMOC
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E268,19.44246654,-99.15165876,CUAUHTEMOC
LUIS DONALDO COLOSIO - ALDAMA E269,19.4424496,-99.15158467,CUAUHTEMOC
DE LA REPUBLICA - PONCIANO ARRIAGA E270,19.43676086,-99.1538689,CUAUHTEMOC
AV. JESUS GARCIA - J. MENESES E271,19.4439229,-99.1525302,CUAUHTEMOC
AV. JESUS GARCIA - J. MENESES E272,19.44355959,-99.15255563,CUAUHTEMOC
LUIS DONALDO COLOSIO - AV. JESUS GARCIA E273,19.44270929,-99.15295634,CUAUHTEMOC
LUIS DONALDO COLOSIO - AV. INSURGENTES NORTE E274,19.44277172,-99.15328924,CUAUHTEMOC
HEROES FERROCARRILEROS - AV. JESUS GARCIA E275,19.44106162,-99.15316159,CUAUHTEMOC
AGUSTIN MELGAR - ZAMORA E447,19.41886263,-99.17677741,CUAUHTEMOC
DR. ANDRADE - ARCOS DE BELEN E448,19.4266175,-99.14446803,CUAUHTEMOC
ACAPULCO - PUEBLA E449,19.42017838,-99.1743946,CUAUHTEMOC
RAMOS ARIZPE - PUENTE DE ALVARADO E450,19.43835874,-99.15222874,CUAUHTEMOC
ANAXAGORAS - OBRERO MUNDIAL E276,19.40198416,-99.15636537,BENITO JUAREZ
AMPLIACION TONALA - OBRERO MUNDIAL E277,19.401814,-99.15908987,BENITO JUAREZ
MIER Y PESADO - OBRERO MUNDIAL E278,19.40070941,-99.16382853,BENITO JUAREZ
